,0
0,-626.1215686274511
1,-597.541568627451
2,-544.721568627451
3,-491.9615686274511
4,-466.30156862745105
5,-484.6415686274511
6,-543.5315686274511
7,-618.681568627451
8,-673.5115686274511
9,-675.971568627451
10,-615.6515686274511
11,-513.431568627451
12,-414.6315686274511
13,-373.15156862745107
14,-425.31156862745104
15,-567.1615686274511
16,-746.6015686274511
17,-872.191568627451
18,-841.1315686274511
19,-577.9015686274511
20,-64.37156862745104
21,644.058431372549
22,1426.2484313725488
23,2129.208431372549
24,2610.4684313725493
25,2780.778431372549
26,2628.538431372549
27,2219.1784313725493
28,1670.858431372549
29,1115.368431372549
30,658.538431372549
31,353.8084313725489
32,195.4584313725489
33,134.47843137254898
34,104.79843137254892
35,52.04843137254892
36,-47.67156862745105
37,-185.24156862745104
38,-328.3715686274511
39,-440.91156862745106
40,-500.43156862745104
41,-507.49156862745104
42,-482.7015686274511
43,-456.18156862745104
44,-453.3315686274511
45,-484.05156862745105
46,-540.291568627451
47,-602.071568627451
48,-647.5315686274511
49,-663.201568627451
50,-649.831568627451
